-0.08138,0.117931,-0.27097,-0.04375,-0.01914,-0.06866,-0.04405,0.077336,0.156604,-0.05877,-0.15738,-0.12720
-0.04598,0.241219,-0.27097,0.004191,0.017585,0.128522,0.072552,0.003915,-0.08749,0.013085,-0.09584,-0.12720
-0.04598,0.159027,-0.23097,-0.01635,0.007568,-0.01232,0.026616,0.018599,-0.04024,-0.00488,-0.09584,-0.12720
0.254899,-0.16974,0.289024,-0.04375,-0.02081,0.015846,0.047817,0.092021,-0.11898,-0.04679,-0.09584,0.072795
-0.08138,0.117931,-0.27097,-0.04375,-0.01914,-0.06866,-0.04405,0.077336,0.156604,-0.05877,-0.15738,-0.12720
-0.08138,0.090534,-0.27097,-0.05060,-0.02081,-0.04049,-0.02285,0.077336,0.156604,-0.05877,-0.15738,-0.12720
-0.03713,0.049438,-0.21097,-0.06430,-0.03082,-0.01232,0.044283,-0.02545,-0.00875,-0.11865,-0.15738,-0.12720
-0.09023,0.083685,-0.27097,-0.09169,-0.03750,-0.01232,-0.08999,-0.15761,0.062116,-0.11266,-0.06507,0.272795
-0.04598,0.035739,-0.25097,-0.03690,-0.02415,-0.09683,-0.10059,0.003915,0.038494,-0.05278,-0.14199,0.272795
-0.07253,-0.01905,0.089024,0.243917,-0.02749,0.015846,0.196227,0.077336,0.030620,0.084941,0.011849,-0.12720
-0.14333,0.035739,-0.19097,-0.05060,0.015916,-0.01232,0.065485,-0.06216,-0.02449,-0.07074,-0.18815,-0.12720
-0.07253,-0.01905,0.089024,0.243917,-0.02749,0.015846,0.196227,0.077336,0.030620,0.084941,0.011849,-0.12720
-0.24067,0.059712,-0.27097,-0.06430,0.002560,0.001762,0.044283,-0.17963,0.211722,-0.08272,-0.08045,-0.12720
-0.04598,0.056287,0.019024,-0.06430,0.044296,-0.09683,-0.06172,0.047968,-0.04024,0.540031,-0.20353,-0.12720
0.051360,0.063137,-0.09097,0.086383,0.147802,0.508804,0.348170,0.136073,-0.11898,0.132845,-0.18815,-0.12720
0.051360,0.063137,-0.08097,0.093232,0.137785,0.494719,0.358771,0.136073,-0.11111,0.162785,-0.18815,-0.12720
0.015961,-0.16974,0.289024,-0.05060,0.007568,0.269367,0.199760,0.011257,-0.00875,0.055001,0.011849,0.272795
-0.01943,0.022041,0.009024,-0.05745,0.468336,0.001762,0.033683,0.003915,-0.15835,0.372366,-0.17276,-0.12720
-0.08138,0.042589,-0.19097,0.127479,-0.00244,-0.13908,-0.06172,0.047968,0.054242,-0.09470,-0.21892,-0.32720
-0.03713,-0.14234,0.239024,-0.05060,0.423261,0.015846,0.033683,0.011257,-0.21347,0.252605,-0.18815,0.072795
0.051360,-0.21083,0.209024,-0.05060,-0.01747,0.184860,0.047817,0.003915,0.062116,-0.07673,-0.15738,0.072795
-0.06368,-0.09439,0.039024,-0.01635,-0.00912,0.100353,0.086686,0.106705,0.164478,-0.00488,-0.11122,-0.12720
-0.03713,-0.06700,-0.06097,-0.06430,0.030941,-0.08274,-0.03345,-0.01076,-0.11111,0.150809,-0.14199,-0.12720
0.015961,-0.02590,-0.16097,-0.01635,-0.00578,-0.09683,0.072552,0.003915,-0.11111,-0.07673,-0.15738,-0.12720
-0.12563,-0.08754,-0.13097,-0.00950,-0.00411,0.072184,-0.02285,0.003915,0.093612,-0.01685,-0.11122,0.072795
-0.17872,-0.09439,-0.11097,-0.07800,-0.01246,-0.06866,-0.08292,-0.09153,0.022746,-0.05877,-0.17276,-0.12720
-0.06368,-0.08069,-0.03097,-0.05060,-0.01246,-0.16725,-0.12532,-0.04013,-0.02449,-0.04080,-0.14199,-0.12720
